Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
S&atilde;o Domingos das Dores,3160959,sandominguense,SUELY PEREIRA DE SOUZA,60.865,5626,92.43,5778,99.66,0.638,-,40293021.82,37111817.7,16117.24,
S&atilde;o Domingos do Prata,3161007,pratiano,FERNANDO ROLLA,743.768,17392,23.38,17771,99.67,0.690,-,109683021.23,88125208.41,18125.06,
S&atilde;o F&eacute;lix de Minas,3161056,s&atilde;o felense,MARCOS ALEXANDRE GON&Ccedil;ALVES SORDINE,162.560,3200,19.69,3252,98.99,0.620,27.03,35557002.55,31523336.78,13087.33,
S&atilde;o Francisco,3161106,s&atilde;o-franciscano,MIGUEL PAULO SOUZA FILHO,3308.100,52762,15.95,54239,98.94,0.638,10.07,258610910.75,257032475.04,11446.32,
S&atilde;o Francisco de Paula,3161205,francisco-paulense,JO&Atilde;O &Ecirc;NIO LIMA,316.822,6187,19.53,6293,98.99,0.660,16.67,40308745.04,35943084.68,23108.24,
S&atilde;o Francisco de Sales,3161304,s&atilde;o-francisco-salense,GILMAR APARECIDO LEONEL SOUTO,1128.864,5732,5.08,5857,100,0.688,-,62408180.84,57431457.59,30763.55,
S&atilde;o Francisco do Gl&oacute;ria,3161403,s&atilde;o-franciscano-do-gl&oacute;ria,INACIO DOLIZETE RICARDO,164.613,4800,29.16,4866,99.25,0.663,-,42241157.11,26041166.19,15251.54,
S&atilde;o Geraldo,3161502,s&atilde;o-geraldense,WALMIR ROCHA LOPES,185.578,10282,55.41,10517,98.91,0.651,17.7,56603239.43,51555134.05,20738.3,
S&atilde;o Geraldo da Piedade,3161601,s&atilde;o-geraldense,OZANAM OLIVEIRA DE FARIAS,152.336,3305,21.70,3258,99.33,0.600,-,39666219.83,36513859.7,11611.66,
S&atilde;o Geraldo do Baixio,3161650,baixiense,JULIANO PHILIPE SERAFIM SOARES,280.954,3143,11.19,3175,98.82,0.630,20,39850942.41,31430297.48,12169.53,
S&atilde;o Gon&ccedil;alo do Abaet&eacute;,3161700,s&atilde;o-gon&ccedil;alense,FABIANO MAGELLA LUCAS DE CARVALHO,2692.545,7375,2.74,7521,100,0.670,40,94918553.72,63350760.62,38182.29,
S&atilde;o Gon&ccedil;alo do Par&aacute;,3161809,s&atilde;o-gon&ccedil;alense,OSVALDO DE SOUZA MAIA,265.730,11770,44.29,12192,97.79,0.689,16.81,67532012.91,61534742.06,24361.9,
S&atilde;o Gon&ccedil;alo do Rio Abaixo,3161908,s&atilde;o-gon&ccedil;alense,RAIMUNDO NONATO DE BARCELOS,363.818,11850,32.57,12353,99.58,0.667,-,516461057.62,561615057.77,684168.71,
S&atilde;o Gon&ccedil;alo do Sapuca&iacute;,3162005,s&atilde;o-gon&ccedil;alense,ELOI RADIN ALLERAND,516.683,23959,46.37,24480,98.26,0.715,10.34,126084034.03,103081724.05,38470.78,
S&atilde;o Gotardo,3162104,s&atilde;o-gotardense,MAKOTO EDISON SEKITA,866.087,40910,47.24,43309,93.63,0.736,9.98,207407611.2,178047871.3,32960.88,
S&atilde;o Jo&atilde;o Batista do Gl&oacute;ria,3162203,gloriense,EDER APARECIDO DE PAULA GARCIA,547.908,7652,13.97,7912,99.57,0.724,23.26,67134275.62,53497045.8,35560.06,
S&atilde;o Jo&atilde;o da Lagoa,3162252,lagoano,RONALDO SOARES MOTA DIAS,998.015,4822,4.83,4950,100,0.634,-,39251905.98,35796435.06,12208.13,
S&atilde;o Jo&atilde;o da Mata,3162302,s&atilde;o-joanense-da-mata,ROSEMIRO DE PAIVA MUNIZ,120.536,2914,24.18,3000,100,0.653,-,31024303.06,27881139.17,20081.08,
S&atilde;o Jo&atilde;o da Ponte,3162401,pontense,FABIO LUIZ FERNANDES CORDEIRO,1851.102,23930,12.93,24269,98.96,0.569,14.65,147923478.66,154508350.89,10741.62,
S&atilde;o Jo&atilde;o das Miss&otilde;es,3162450,missionense,JAIR CAVALCANTE BARBOSA,678.274,13024,19.20,13467,98.13,0.529,26.52,59761915.4,53972899.46,6983.08,
S&atilde;o Jo&atilde;o del Rei,3162500,s&atilde;o-joanense,AURELIO SUENES DE RESENDE,1452.002,90225,62.14,94062,99.69,0.758,5.68,497735276.6,516165490.33,33059.97,
S&atilde;o Jo&atilde;o do Manhua&ccedil;u,3162559,sanjoanense,JOS&Eacute; MIRANDA BARBOSA,143.096,11246,78.59,11614,97.92,0.650,9.9,78939556.91,76877434.31,15536.64,
S&atilde;o Jo&atilde;o do Manteninha,3162575,manteniense,DANILO SOARES DE LIMA,137.928,5331,38.65,5468,99.47,0.640,12.99,39225398.59,37291496.18,13597.23,
S&atilde;o Jo&atilde;o do Oriente,3162609,s&atilde;o-joanense,FILIPE FERREIRA VAZ,120.122,7070,58.86,7139,97.87,0.648,11.63,42855509.29,43410719.54,13780.13,
S&atilde;o Jo&atilde;o do Pacu&iacute;,3162658,pacu&iacute;ense,CAIO FREIRE CUNHA,415.922,3972,9.55,4052,100,0.625,-,37358914.32,36304131.74,9974.47,
S&atilde;o Jo&atilde;o do Para&iacute;so,3162708,paraisense,SELMA MARIA MORAIS DOS SANTOS,1925.575,23910,12.42,24604,98.84,0.615,7.81,113275985.7,98152689.82,11979.66,
S&atilde;o Jo&atilde;o Evangelista,3162807,evangelistano,H&Eacute;RCULES JOS&Eacute; PROC&Oacute;PIO,478.183,15315,32.03,15617,99.22,0.638,5.75,91896660.01,86233038.8,16059.13,
S&atilde;o Jo&atilde;o Nepomuceno,3162906,s&atilde;o-joanense,ANTONIO JOSE DA COSTA,407.427,25565,62.75,26478,98.35,0.708,7.66,135835103.77,127502526.63,19084.4,
S&atilde;o Joaquim de Bicas,3162922,sanjoaquimbiquense,MATHEUS ANTONIO LARA MAIA RESENDE,71.758,34348,478.66,36496,98.48,0.662,11.34,285780497.88,303326720.12,33134.13,
S&atilde;o Jos&eacute; da Barra,3162948,s&atilde;o jos&eacute; barrense,MARCELO RODRIGUES DA SILVA,308.319,7793,25.28,8084,100,0.739,22.99,66395106.46,58094725.88,118358.54,
S&atilde;o Jos&eacute; da Lapa,3162955,lapense,MARCIA DE FATIMA LOPES FERREIRA,48.134,26090,544.34,27710,99.21,0.729,14.29,175853720.56,187810166.55,25528.59,
S&atilde;o Jos&eacute; da Safira,3163003,safirense,WILLIS APARECIDO ALVES,213.881,3806,17.79,3861,98.17,0.583,14.29,42330647.4,38603907.47,11549.69,
S&atilde;o Jos&eacute; da Varginha,3163102,varginense-de-s&atilde;o-jos&eacute;,ANA PAULA SILVA,205.501,4536,22.07,4677,98.76,0.704,-,42133558.99,33660015.44,22210.65,
S&atilde;o Jos&eacute; do Alegre,3163201,alegrense,PAULO SERGIO DA SILVA,88.794,4133,46.55,4242,99.09,0.717,45.45,34244530.82,31491423.31,13723.34,
S&atilde;o Jos&eacute; do Divino,3163300,s&atilde;o-jos&eacute;-divinense,GERALDO GUEDES RODRIGUES,328.704,3464,10.54,3501,100,0.658,-,47905682.07,41751201.3,13774.55,
S&atilde;o Jos&eacute; do Goiabal,3163409,goiabalense,AILTON GERALDO DOS SANTOS,189.578,5396,28.46,5492,99.57,0.666,20.41,40150831.77,35688060.97,12581.76,
S&atilde;o Jos&eacute; do Jacuri,3163508,jacuriense,DANIELLY MARINHO ROCHA LUCENA,345.146,6197,17.95,6298,99.57,0.566,44.44,47015568.93,43670921.95,15589.16,
S&atilde;o Jos&eacute; do Mantimento,3163607,mantimentense,ANDREIA TEIXEIRA NEVES GOMES,54.701,2753,50.33,2834,100,0.657,-,33398406.78,30926849.87,15659.26,
