Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Abadia dos Dourados,3100104,abadiense,CIRO LUIZ DA SILVA JUNIOR,880.461,6272,7.12,6365,98.28,0.689,-,54056251.12,47058562.8,25174.26,
Abaet&eacute;,3100203,abaetense,IVANIR DELADIER DA COSTA,1817.067,22675,12.48,23161,99.09,0.698,4.48,171110172.9,164326914.45,23266.1,
Abre Campo,3100302,abre-campense,MARCIO PESSOA MOREIRA VICTOR,470.551,13927,29.60,14312,96.21,0.654,12.2,79952087.52,66949825.34,19553.86,
Acaiaca,3100401,acaiaquense,LUIZ ALBERTO PEREIRA,101.886,3909,38.37,3997,99.3,0.630,20,34605138.82,28148613.95,16247.06,
A&ccedil;ucena,3100500,a&ccedil;ucenense,RAULISSON MORAIS,815.422,8943,10.97,8995,98.92,0.610,23.53,48102705.27,42314545.76,17888.2,
&Aacute;gua Boa,3100609,&aacute;gua-boense,ORLANDO CARDOSO PEREIRA,1320.344,12589,9.53,12545,95.9,0.576,14.18,78270812.01,73654670.62,14421.07,
&Aacute;gua Comprida,3100708,&aacute;gua-compridense,GUSTAVO DE ALMEIDA GON&Ccedil;ALVES,492.167,2108,4.28,2165,100,0.675,-,40914973.28,37046615.99,115725.51,
Aguanil,3100807,aguanilense,RICARDO DE OLIVEIRA,232.091,4357,18.77,4490,100,0.663,-,46138791.87,36531077.57,20762.54,
&Aacute;guas Formosas,3100906,&aacute;guas-formosense,CARLOS SOUZA,820.079,18448,22.50,18841,98.78,0.645,-,102014269.3,93128253.95,14913.12,
&Aacute;guas Vermelhas,3101003,&aacute;guas-vermelhense,NILSON FRANCISCO CAMPOS,1256.607,14037,11.17,14486,99.81,0.601,19.74,80668792.63,75527062.4,17329.28,
Aimor&eacute;s,3101102,aimorense,ADRIANO GARCIA,1348.913,25269,18.73,26165,97.93,0.684,9.52,128304067.38,129716285.3,25402.54,
Aiuruoca,3101201,aiuruocano,ERLISSON VITOR LOPES,649.680,6233,9.59,6382,95.88,0.668,-,45581389.67,40086036.58,21608.49,
Alagoa,3101300,alagoense,SEBASTI&Atilde;O MENDES PINTO NETO,161.356,2749,17.04,2816,100,0.649,35.71,35688909.15,36532988.33,17958.99,
Albertina,3101409,albertinense,FELIPE TEODORO SANCHES,58.010,2952,50.89,3023,98.76,0.673,-,42423792.91,36913245.24,51065.05,
Al&eacute;m Para&iacute;ba,3101508,al&eacute;m-paraibano,PAULO HENRIQUE MARINHO GOLDSTEIN,510.250,30717,60.20,31333,98.92,0.726,16.53,171904347.43,159669441.33,27422.83,
Alfenas,3101607,alfenense,FABIO MARQUES FLORENCIO,850.446,78970,92.86,81950,97.23,0.761,6.72,558297532.37,573714655.19,43049.74,
Alfredo Vasconcelos,3101631,vasconcelense,AMAR&Iacute;LIO ANT&Ocirc;NIO FERREIRA,130.815,6931,52.98,7184,99.53,0.675,-,48961263.93,45694490.3,21364.59,
Almenara,3101706,almenarense,EDUARDO OLIVEIRA BRASILEIRO,2294.426,40364,17.59,41894,98.34,0.642,15.15,210886904.01,197177968.27,15924.96,
Alpercata,3101805,alpercatense,RAFAEL AUGUSTO FRAN&Ccedil;A OLIVEIRA MACHADO,166.972,6903,41.34,7029,100,0.646,12.99,45137681.44,47677612.75,12700.99,
Alpin&oacute;polis,3101904,alpinopolense,RAFAEL HENRIQUE DA SILVA FREIRE,460.685,18300,39.72,18672,99.39,0.725,21.19,101762814.56,87685763.24,26133.79,
Alterosa,3102001,alterosense,MARCELO NUNES DE SOUZA,362.010,13915,38.44,14253,98.43,0.668,20.27,76980637.52,70682868.14,20357.31,
Alto Capara&oacute;,3102050,alto caparoense,SEBASTI&Atilde;O ANANIAS CAMPOS,103.690,5795,55.89,5982,98.33,0.661,12.05,42178818.71,40873170.17,16354.23,
Alto Rio Doce,3102100,alto-rio-docense,VICTOR DE PAIVA LOPES,518.053,10891,21.02,10994,99.07,0.620,-,59922005.16,51975124.15,16798.64,
Alvarenga,3102209,alvarenguense,GERALDO FELICIO JUNIOR,278.175,3975,14.29,4012,100,0.592,-,36585851.31,31485232.47,14445.67,
Alvin&oacute;polis,3102308,alvinopolense,LINDOURO MODESTO GOMES,599.443,15059,25.12,15360,97.97,0.676,-,79981472.64,82745353.6,22478.72,
Alvorada de Minas,3102407,alvoradense,DANILIO CLESSIO FERREIRA,374.008,4159,11.12,4322,98.77,0.572,-,127001583.97,120996054.5,17990.28,
Amparo do Serra,3102506,serrense,JOS&Eacute; EDUARDO BARBOSA COUTO,136.186,4541,33.34,4595,98.09,0.641,23.81,36199874.31,29641298.74,12045.13,
Andradas,3102605,andradense,MARGOT NAVARRO GRAZIANI PIOLI,469.396,40553,86.39,42282,99.45,0.734,4.3,222905075.48,202354053.05,28386.06,
Cachoeira de Paje&uacute;,3102704,cachoeirense,GERALDO DUARTE DE SOUSA,695.672,9110,13.10,9333,99.68,0.578,14.71,44640314.88,43082990.88,13262.75,
Andrel&acirc;ndia,3102803,andrelandense,FRANCISCO REGINALDO NOGUEIRA,1005.285,11927,11.86,12169,99.03,0.700,17.86,78585678.17,74849699.47,23950.85,
Angel&acirc;ndia,3102852,angelandense,CL&Aacute;UDIO ROBERTO GOMES,185.211,7718,41.67,7860,99.48,0.597,28.85,48259373.73,45519340.18,16818.81,
Ant&ocirc;nio Carlos,3102902,ant&ocirc;nio-carlense,MARCELO RIBEIRO DA SILVA,529.915,11095,20.94,11345,100,0.683,10.1,58787786.75,53580498.03,21088.32,
Ant&ocirc;nio Dias,3103009,ant&ocirc;nio-diense,ELCIO DE ALMEIDA ATAIDE,787.061,9219,11.71,9388,99.63,0.645,12.99,104497819.9,99717744.94,96894.13,
Ant&ocirc;nio Prado de Minas,3103108,pradense-de-minas,FERDINANDO CALIAN PEREIRA,83.802,1538,18.35,1558,100,0.684,-,25622277.27,24469837.39,18117.22,
Ara&ccedil;a&iacute;,3103207,ara&ccedil;aiense,MARCIO GONZAGA DIAS DE OLIVEIRA,187.530,2181,11.63,2224,100,0.695,55.56,33168883.45,30885076.57,25422.8,
Aracitaba,3103306,aracitabense,TEREZINHA MARC&Iacute;LIA DO AMARAL TOLEDO,106.608,2049,19.22,2095,97.06,0.661,52.63,30547699.2,26042337.41,15253.67,
Ara&ccedil;ua&iacute;,3103405,ara&ccedil;uaiense,TADEU BARBOSA DE OLIVEIRA,2236.279,34297,15.34,35250,99.77,0.663,2.69,181105762.78,175397151.55,14163.67,
Araguari,3103504,araguarino,RENATO CARVALHO FERNANDES,2729.777,117808,43.16,122874,97.29,0.773,10.23,827921368.3,834716390.01,49322.18,
Arantina,3103603,arantinense,EDIMAR LUIS DE OLIVEIRA,89.420,2915,32.60,2991,99.21,0.697,93.75,38402679.06,30580498.19,31861.03,
Araponga,3103702,araponguense,CARLOS ASSUNCAO GOMES,303.793,8048,26.49,8218,97.55,0.536,9.52,51581748.73,46285127.93,14443.79,
Arapor&atilde;,3103751,araporense,WILSON ROBERTO RIBEIRO,294.354,8479,28.81,8935,99.8,0.708,13.42,108278751.7,105184083.73,185156.76,
Arapu&aacute;,3103801,arapuaense,EM&Iacute;LIO DOS SANTOS BOAVENTURA GONDIN,173.894,2631,15.13,2674,96.85,0.724,-,35288581.87,32518744.14,60936.37,
Ara&uacute;jos,3103900,araujense,GERALDO MAGELA DA SILVA,245.522,9199,37.47,9556,97.88,0.698,18.69,54593562.36,49038093.14,49809.64,
Arax&aacute;,3104007,araxaense,RUBENS MAGELA DA SILVA,1164.062,111691,95.95,117677,99.62,0.772,5.43,831812552.32,798627387.33,82570.25,
Arceburgo,3104106,arceburguense,MARGARETH OLIVEIRA ANACLETO,162.875,9177,56.34,9348,99.49,0.683,28.17,69143215.4,61822941.74,31547.24,
Arcos,3104205,arcoense,WELLINGTON FRANCELLI ESTEV&Atilde;O RODRIGUES ROQUE,509.873,41416,81.23,43348,99.95,0.749,13.7,236089448.99,229511553.26,57713.61,
Areado,3104304,areadense,DOUGLAS AVILA MOREIRA,283.124,13881,49.03,14212,99.1,0.727,16.26,81656817.97,69022916.42,20234.71,
Argirita,3104403,argiritense,VICTOR MIRANDA CORTACIO SIMAS,159.378,2688,16.87,2725,100,0.643,-,35541075.15,34123927.92,14954.09,
Aricanduva,3104452,aricanduvense ou aricanduvano,VALDEIR SANTOS COIMBRA,243.329,4719,19.39,4820,99.53,0.582,-,41375251.59,40815036.23,12645.43,
Arinos,3104502,arinense,MARCILIO ALISSON FONSECA DE ALMEIDA,5279.419,17272,3.27,17598,99.23,0.656,11.95,139157257.9,129270037.86,17849.84,
Astolfo Dutra,3104601,astolfo-dutrense,WESLEY CORDEIRO DE SOUZA,158.891,14138,88.98,14565,99.64,0.694,8.77,73506299.86,68390795.74,20339.56,
Atal&eacute;ia,3104700,ataleiense,GILSON BOTELHO BASTOS,1836.925,13736,7.48,13967,99.04,0.588,35.4,73994497.92,73784347.58,15926.39,
Augusto de Lima,3104809,augusto-limense,FABIANO HENRIQUE DOS PASSOS,1254.832,4538,3.62,4593,100,0.656,-,46713111.71,42208132.28,18423.57,
Baependi,3104908,baependiano,MARCELO FARIA PEREIRA,750.554,18366,24.47,18768,100,0.681,-,120308158.99,121826804.65,19795.44,
Baldim,3105004,baldinense,FABRICIO ANDRADE MAGALH&Atilde;ES,556.266,7492,13.47,7614,100,0.671,-,42216864.81,37116293.36,25871.06,
Bambu&iacute;,3105103,bambuiense,FIRMINO GERALDO DE OLIVEIRA J&Uacute;NIOR,1455.819,23546,16.17,24144,96.81,0.741,9.13,131739110.73,133461190.11,32549.38,
Bandeira,3105202,bandeirense,SIDNEI ALVES DOS SANTOS,483.789,4741,9.80,4821,99.46,0.599,-,40837439.66,35156087.07,12476.94,
Bandeira do Sul,3105301,bandeirante-do-sul,JOS&Eacute; DOS SANTOS,47.266,5943,125.74,6146,100,0.692,18.87,1582348.32,35296025.15,14907.61,
Bar&atilde;o de Cocais,3105400,cocaiense,GERALDO ABADE DAS DORES,340.140,30778,90.49,32095,98.57,0.722,12.29,334469880.13,315934802.49,73393.52,
Bar&atilde;o do Monte Alto,3105509,monte-altense,SELMAR LUIS DO VALLE,198.313,4964,25.03,4991,100,0.649,-,38328009.22,36185167.6,11883.74,
Barbacena,3105608,barbacenense,CARLOS AUGUSTO SOARES DO NASCIMENTO,759.186,125317,165.07,129630,97.1,0.769,10.44,712995176.17,736102067.1,25335.18,
Barra Longa,3105707,barra-longuense,ELSON APARECIDO DE OLIVEIRA,383.628,5666,14.77,5740,97.85,0.624,-,48232655.54,58311266.28,16702.85,
Barroso,3105905,barrosense,ANDERSON GERALDO DE PAULA,82.070,20080,244.67,20566,96.93,0.734,4.57,117636362.53,107634111.84,29022.49,
Bela Vista de Minas,3106002,bela-vistano,SAMANTHA APARECIDA DE AVILA COSTA MAGALHAES,109.250,10167,93.15,10412,99.52,0.674,23.81,82256747.19,96090547.39,55337.41,
Belmiro Braga,3106101,belmirense,JOS&Eacute; PAULO DE OLIVEIRA FRANCO,393.086,3244,8.25,3299,98.32,0.660,-,45980340.06,43509357.15,17992.57,
Belo Horizonte,3106200,belo-horizontino,&Aacute;LVARO DAMI&Atilde;O VIEIRA DA PAZ,331.354,2315560,6988.18,2416339,98.67,0.810,10.37,19290095592.66,19420989197.95,41818.32,
Belo Oriente,3106309,belo-orientino,JO&Atilde;O BATISTA HEM&Eacute;TRIO MELLO DE MENEZES,334.909,23928,71.45,24503,98.73,0.686,13.07,239795912.06,220104468.38,77527.64,
Belo Vale,3106408,belo-valense,JOS&Eacute; LAPA DOS SANTOS,365.923,8627,23.58,8946,98.9,0.655,11.9,163556502.45,213371636.41,36243.16,
Berilo,3106507,berilense,ELANE LUIZ ALVES,587.106,9826,16.74,9769,100,0.628,27.78,57769110.93,51747140.51,9551.5,
Bert&oacute;polis,3106606,bertopolitano,ILDASIO FERREIRA ROSA CARRIEIROS,427.803,4451,10.40,4546,87.91,0.594,47.62,31288336.7,30452513.12,11671.08,
Berizal,3106655,berizalense,TALYANE LAVES PEREIRA,488.756,4201,8.60,4277,99.33,0.604,22.22,41392554.64,38309558.03,12734.93,
Betim,3106705,betinense,HERON DOMINGUES GUIMARAES,344.076,411846,1197.01,429236,99.37,0.749,12.57,3304153663.25,3170398198.54,73624.78,
Bias Fortes,3106804,bias-fortense,PAULO AFONSO DE ALMEIDA,283.535,3361,11.85,3388,100,0.620,-,33858290.58,29566301.86,12668.63,
Bicas,3106903,biquense,HELBER MARQUES CORREA,140.082,13978,99.78,14331,100,0.744,6.67,85790494.41,70978980.93,18998.7,
Biquinhas,3107000,biquinhense,EUCLIDES PINTO COELHO,458.948,2383,5.19,2409,100,0.688,-,79648546.93,39247673.24,25978.67,
Boa Esperan&ccedil;a,3107109,esperancense,AROLDO ROSA DE MEDEIROS JUNIOR,860.669,39848,46.30,41332,98.3,0.704,14.58,251838844.29,253254761.36,26261.54,
Bocaina de Minas,3107208,bocainense,LUZIMAR DE MOURA BENFICA,503.770,5348,10.62,5508,100,0.645,22.73,36231230.27,32613913.19,15766.67,
Bocai&uacute;va,3107307,bocaiuvense,ROBERTO JAIRO TORRES,3206.757,48032,14.98,49668,99.41,0.700,11.63,234596892.11,213819154.25,24252.97,
Bom Despacho,3107406,bom-despachense,FERNANDO AUGUSTO ALVES DE ANDRADE,1213.546,51737,42.63,53995,98.39,0.750,9.76,348000861.15,324785395.12,35269,
Bom Jardim de Minas,3107505,bom-jardinense,JOSE FRANCISCO MATOS E SILVA,412.021,6783,16.46,6968,98.26,0.673,15.15,49534494.73,43566054.03,19828.35,
Bom Jesus da Penha,3107604,bom-jesuense,RONE ANDR&Eacute; DE LIMA,208.349,4474,21.47,4642,98.32,0.735,-,48464126.21,51841952.23,45924.06,
Bom Jesus do Amparo,3107703,bom-jesuense,WANDERLEI DOS SANTOS RIBEIRO,195.611,5631,28.79,5775,98.81,0.683,12.35,39455717.47,35433608.9,25935.64,
Bom Jesus do Galho,3107802,bom-jesuense,ANIBAL BORGES,592.289,14536,24.54,14756,94.7,0.623,-,73363022.61,63786412.13,11568.99,
Bom Repouso,3107901,bom-repousense,EDMILSON ANDRADE,229.845,12649,55.03,13183,99.5,0.653,-,77047711.36,73019597.56,15221.01,
Bom Sucesso,3108008,bom-sucessense,LUIZ CL&Aacute;UDIO DA MATA,705.046,17151,24.33,17510,99.24,0.692,14.93,92052830.83,95155103.39,25271.28,
Bonfim,3108107,bonfinense,MARCONI MARQUES PARREIRAS,301.865,7434,24.63,7672,99.39,0.637,36.36,42228393.53,40210190.82,19772.69,
Bonfin&oacute;polis de Minas,3108206,bonfinopolitano,MANOEL DA COSTA LIMA,1850.487,5528,2.99,5615,100,0.678,-,62561936.39,56947850.72,84995.13,
Bonito de Minas,3108255,bonitense,MIQUEIAS MOTA FIGUEIREDO,3936.455,10204,2.59,10491,98.97,0.537,21.43,62463694.35,62824029.87,8784.49,
Borda da Mata,3108305,borda-matense,TATIANA PIRES PEREIRA,301.108,17404,57.80,17811,99.79,0.730,5.59,92522334.5,88564964.95,18923.96,
Botelhos,3108404,botelhense,FELIPE EDUARDO BEGALLI,334.089,14828,44.38,15137,95.41,0.702,-,79867665.5,78653481.7,21834.65,
Botumirim,3108503,botumiriense,EDER LEANDRO LIMA RIOS,1568.884,5790,3.69,5841,100,0.602,17.86,44398506.41,41253941.59,12103.05,
Brasil&acirc;ndia de Minas,3108552,brasilandense,OSEIAS CARDOSO QUEIROZ,2509.694,15020,5.98,15432,98.25,0.674,15.96,87747643.13,80113276.79,24489.37,
Bras&iacute;lia de Minas,3108602,brasilminense,MARCUS VINICIUS FERREIRA CARVALHO,1399.484,32025,22.88,33188,99.35,0.656,8.53,184370570.77,172389341.33,11627.4,
Br&aacute;s Pires,3108701,br&aacute;s-pirense,DOMINGOS RIVELLI TEIXEIRA NOGUEIRA,223.351,4260,19.07,4314,100,0.625,-,38328466.35,31726596.41,11758.46,
Bra&uacute;nas,3108800,braunense,WEYNE VIRGILIO DE CARVALHO,378.318,4441,11.74,4475,97.74,0.624,-,39569639.84,36478144.39,44982.9,
Braz&oacute;polis,3108909,brazopolense,JOAO TORRES PEREIRA JUNIOR,367.688,14246,38.74,14506,99.22,0.692,15.15,70202256.81,69759195.76,13786.69,
Brumadinho,3109006,brumadinhense,GABRIEL AUGUSTO PARREIRAS,639.434,38915,60.86,40777,99.56,0.747,12.85,722713527.63,809075959.42,112233.99,
Bueno Brand&atilde;o,3109105,bueno-brandense,LOURIVAL CAVINI J&Uacute;NIOR,356.150,10911,30.64,11161,98.99,0.658,-,66363488.2,54922327.21,21921.18,
Buen&oacute;polis,3109204,buenopolense,JOSE ALVES,1599.881,9150,5.72,9229,100,0.669,30.61,56501380.12,51270455.44,17474.86,
Bugre,3109253,bugrense,MARCELIO TEIXEIRA DA COSTA,161.491,4041,25.02,4149,98.41,0.627,16.95,48193169.24,39216066.74,11937.36,
Buritis,3109303,buritisense,RUFINO CLOVIS FOLADOR,5225.186,24030,4.60,24693,97.63,0.672,20.41,205912442.9,192485680.88,46229.61,
Buritizeiro,3109402,buritizeirense,PEDRO HENRIQUE SOARES BRAGA,7218.401,23910,3.31,24068,98.39,0.624,9.17,178143444.96,173595014.2,26118.73,
Cabeceira Grande,3109451,cabeceirense,ELBER DE OLIVEIRA SILVA,1033.055,6627,6.41,6797,100,0.648,41.67,68859894.5,67754705.78,67955.62,
Cabo Verde,3109501,cabo-verdense,CLAUDIO ANTONIO PALMA,368.206,11410,30.99,11396,98.45,0.674,7.14,75272115.18,65946416.84,20665.25,
Cachoeira da Prata,3109600,cachoeirense,CL&Eacute;CIO GON&Ccedil;ALVES DA SILVA,61.425,3693,60.17,3781,100,0.741,-,43098037.1,36659677.25,14487.2,
Cachoeira de Minas,3109709,cachoeirense,MARISTELA COSTA E BUSTAMANTE,304.243,11883,39.06,12248,99.7,0.706,8.26,65576823.64,61035307.4,46258.02,
Cachoeira Dourada,3109808,cachoeirense,ALEANDRO FRANCISCO DA SILVA,203.070,2315,11.40,2346,98.54,0.726,100,109467343.02,89536315.01,99124.77,
Caetan&oacute;polis,3109907,caetanopolitano,JOAO PROCOPIO DE ALMEIDA FILHO,156.039,11435,73.28,11832,99.58,0.706,8.77,60647834.86,53979906.51,26561.99,
Caet&eacute;,3110004,caeteense,ALBERTO NAZAR&Eacute; PIRES,542.531,38776,71.47,39850,98.87,0.728,-,219878754.66,206132856.19,23695.84,
Caiana,3110103,caianense,VINICIUS BARROSO ARAUJO,106.465,5304,49.82,5463,99.48,0.633,-,41870031.25,34162829.06,15876.73,
Cajuri,3110202,cajuriense,LUCAS LADEIRA CARDOSO,83.038,4088,49.23,4186,100,0.617,62.5,46650945.01,36929005.97,24569.91,
Caldas,3110301,caldense,AILTON PEREIRA GOULART,711.414,14217,19.98,14588,99.27,0.687,37.74,82569722.61,77676695.2,23127.61,
Camacho,3110400,camachense,JO&Atilde;O PAULO LAMOUNIER,223.001,2838,12.73,2867,100,0.690,-,31509371.28,30316345.24,24964.43,
Camanducaia,3110509,camanducaiense,RODRIGO ALVES DE OLIVEIRA,528.688,26097,49.36,27551,98.49,0.689,16.78,180473775.69,157725801.45,45365.42,
Cambu&iacute;,3110608,cambuiense,CINTHIA SANCHES SILVA PEREIRA,244.567,29536,120.77,30870,98.8,0.751,8.75,186961399.82,183640549.14,62049.99,
Cambuquira,3110707,cambuquirense,CIMARA BEATRIZ ARCI SALGADO MACHADO,246.380,12313,49.98,12560,99.35,0.699,-,66674345.9,61415802.32,28950.98,
Campan&aacute;rio,3110806,campanarense,FAUSTO DUARTE,442.398,2923,6.61,2917,97.27,0.616,-,34107753.62,29964032.49,14298.98,
Campanha,3110905,campanhense,L&Aacute;ZARO ROBERTO DA SILVA,335.587,15935,47.48,16334,99.31,0.709,23.26,92064632.8,88598384.57,26097.7,
Campestre,3111002,campestrense,ELIANA MARIA MUNIZ,577.843,20696,35.82,21143,98.45,0.698,-,113430115.39,94735697.62,23104.32,
Campina Verde,3111101,campina-verdense,HELDER PAULO CARNEIRO,3650.749,18011,4.93,18250,99.28,0.704,11.83,120155338.31,109096656.7,27169.11,
Campo Azul,3111150,campoazulense,ARNALDO ALVES OLIVEIRA,505.914,3714,7.34,3802,100,0.621,-,37225991.38,33784626.53,10616.58,
Campo Belo,3111200,campo-belense,ADALBERTO RIBEIRO LOPES,528.225,52277,98.97,53943,98.99,0.711,3.64,309982177.35,290125300.35,22905.64,
Campo do Meio,3111309,campo-meense,SAMUEL AZEVEDO MARINHO,275.426,11377,41.31,11624,97.47,0.683,17.54,74101338,64443213.46,19843.07,
Campo Florido,3111408,campo-floridense,ALYSSON EDUARDO DA SILVA,1264.245,8466,6.70,8838,99.59,0.706,22.73,94961080.49,80784059.76,84803.44,
Campos Altos,3111507,campos-altense,VICENTE DE PAULO MATEUS,710.645,12979,18.26,13136,99.23,0.702,21.39,101867863.4,94713681.05,27730.44,
Campos Gerais,3111606,campos-geraiense,MIRO LUCIO PEREIRA,769.504,26105,33.92,26809,98.73,0.682,10.34,163858885.06,157225577.32,24372.14,
Cana&atilde;,3111705,cana&atilde;ense,JOS&Eacute; IVANIR MIRANDA DUARTE,174.900,4715,26.96,4832,98.72,0.649,-,40314401.28,35183388.93,17088.06,
Can&aacute;polis,3111804,canapolino / canapolense,ENIVANDER ALVES DE MORAIS,843.599,10608,12.57,10755,98.61,0.722,-,91938119.42,77843145.72,55343.4,
Cana Verde,3111903,cana-verdense,AENDER ANASTACIO DE MORAIS,212.721,5272,24.78,5356,95.61,0.650,-,44600294.43,37548941.45,14348.74,
Candeias,3112000,candeense,HEBERTON CAETANO DE FARIA,720.512,14001,19.43,14236,100,0.678,8.33,82338483.43,82930496.3,24926.08,
Cantagalo,3112059,cantagalense,ROBERTO DE OLIVEIRA QUEIROZ COSTA,141.855,3974,28.01,4039,98.89,0.631,-,36443916,34580173.09,12406.75,
Capara&oacute;,3112109,caparaoense,DIOGENIS DA SILVA MIRANDA,130.694,5048,38.62,5144,98.45,0.624,11.63,39340251.2,26955498.7,17866.83,
Capela Nova,3112208,capela-novense,CHARLES LOPES MOREIRA,111.073,4362,39.27,4416,100,0.648,-,34087547.33,29199898.05,13534.64,
Capelinha,3112307,capelinhense,JONAS BARREIROS DOS SANTOS,965.292,39626,41.05,41536,99.88,0.653,15.99,197743623.95,191641622.17,23174.33,
Capetinga,3112406,capetinguense,REGINALDO DE MENDON&Ccedil;A,297.937,6562,22.02,6652,99.75,0.675,13.16,44266636.08,42529546.79,30215.68,
Capim Branco,3112505,capim-branquense,ELVIS PRESLEY MOREIRA GON&Ccedil;ALVES,95.333,10663,111.85,11105,99.11,0.695,28.85,59920789.36,56422985.78,12467.57,
Capin&oacute;polis,3112604,capinopolino,LUCIANO BATISTA BELCHIOR,620.716,14655,23.61,14899,98.29,0.723,-,119167774.57,110009426.87,40910.84,
Capit&atilde;o Andrade,3112653,capit&atilde;o andradense,JACKSON DE OLIVEIRA MACHADO,279.088,4585,16.43,4650,99.51,0.624,-,42190245.56,37114800.49,10939.49,
Capit&atilde;o En&eacute;as,3112703,capit&atilde;o-eneense ou eneapolitano,REINALDO LANDULFO TEIXEIRA,971.576,14108,14.52,14401,99.02,0.639,9.66,88976350.9,93200624.8,32591.49,
Capit&oacute;lio,3112802,capitolino,CRISTIANO GERALDO DA SILVA,521.802,10380,19.89,10863,96.24,0.710,7.69,91327139.82,80210164.03,37783.2,
Caputira,3112901,caputirense,EDGAR GERALDO DE ARAUJO,187.704,8936,47.61,9128,98.64,0.615,7.25,52367872.89,51266372.05,15427.23,
Cara&iacute;,3113008,caraiense,FABR&Iacute;CIO SANTOS FONSECA,1242.345,19548,15.73,19654,99.56,0.558,24.75,101266427.45,83301447.1,8814.85,
Carana&iacute;ba,3113107,caranaibense,F&Aacute;BIO HENRIQUES DUTRA,159.950,2933,18.34,2960,98.46,0.634,43.48,33589371.82,26165070.56,13169.27,
Caranda&iacute;,3113206,carandaiense,CLAIRTON DUTRA COSTA VIEIRA,487.280,23812,48.87,24368,100,0.697,12.82,145168588.85,132167404.6,29108.4,
Carangola,3113305,carangolense,SILAS VIEIRA,353.404,31240,88.40,32165,98.66,0.695,5.63,186805591.89,189887467.61,19358.62,
Caratinga,3113404,caratinguense,GIOVANNI CORREA DA SILVA,1258.479,87360,69.42,90687,98.8,0.706,17.18,506720239.76,442854572.35,24518.79,
Carbonita,3113503,carbonitense,JOS&Eacute; MARCELINO SANTOS,1456.095,8512,5.85,8633,97.97,0.638,-,56541573.19,56559564.64,23419.5,
Carea&ccedil;u,3113602,carea&ccedil;uense,EUG&Ecirc;NIO RIBEIRO DOS SANTOS NETO,181.009,6816,37.66,7029,99.77,0.683,-,45889993.87,39616264.87,25519.59,
Carlos Chagas,3113701,carlos-chaguense,JOSE AMADEU NANAYOSKI TAVARES,3202.984,18615,5.81,18852,98.63,0.648,9.09,117081712.35,108819919.48,25642.26,
Carm&eacute;sia,3113800,carmesense,ATOS T&Aacute;CIO SOARES DE OLIVEIRA,259.103,2605,10.05,2682,98.94,0.650,-,45103736.06,40434662.31,14958.01,
Carmo da Cachoeira,3113909,carmo-cachoeirense,JULIANO PEREIRA DA SILVA,506.333,11547,22.81,11776,98.82,0.655,25.64,67290352.17,64784609.04,26379.28,
Carmo da Mata,3114006,carmense,M&Ocirc;NICA BORGES DE SOUSA,357.178,11019,30.85,11279,97.21,0.689,11.49,62030955.7,61117092.64,23014.9,
Carmo de Minas,3114105,carmoense,DARCI PALMA DE MELO,322.285,13797,42.81,14114,99.18,0.682,22.22,80727668.29,69809438.96,19322.94,
Carmo do Cajuru,3114204,cajuruense,VINICIUS ALVES CAMARGOS,455.808,23479,51.51,24376,100,0.710,11.58,141745986.94,129577854.46,27469.01,
Carmo do Parana&iacute;ba,3114303,carmense,LUCAS DA SILVA MENDES,1307.862,29011,22.18,29899,99.58,0.705,3.57,168546845.39,181393118.14,34945.92,
Carmo do Rio Claro,3114402,carmelitano,FILIPE CARDOSO CARIELO,1065.685,20954,19.66,21464,99.86,0.733,5.43,107746564.88,104549530.89,32595.84,
Carm&oacute;polis de Minas,3114501,carmopolitano,CELIO ROBERTO AZEVEDO,400.010,18003,45.01,18498,99.71,0.700,4.78,113723088.86,100147940.54,23365.28,
Carneirinho,3114550,carneirinhense,WILLIAN MARTINS MAIA,2063.462,9422,4.57,9630,98.29,0.741,-,242335100.46,129654246.46,40332.68,
Carrancas,3114600,carranquense,HELY ANDRADE ALVES,727.894,4049,5.56,4153,97.46,0.725,-,42482684.26,38494984.66,43842.86,
Carvalh&oacute;polis,3114709,carvalhopolitano,PEDRO GON&Ccedil;ALVES FILHO,81.101,3341,41.20,3417,98.99,0.724,26.32,38404951.94,36360811.05,19752.88,
Carvalhos,3114808,carvalhense,VALMIR SIQUEIRA DA SILVA,282.254,4422,15.67,4507,100,0.646,-,33865308.87,29690187.44,18141.26,
Casa Grande,3114907,casa-grandense,REINALDO ALIMATEIA DA SILVA,157.727,2214,14.04,2260,99.38,0.652,-,33827793.63,27655711.84,30760.19,
